Address,Prices,Capacity,Link
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,400 per month","2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-b-buckley-hall-buckingham-street-lower-dublin-1/2609911
"559 North Circular Road, Dublin 1",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
"North Circular Road, Pibsboro, Dublin 7",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-pibsboro-dublin-7/3417073
Philipsburgh Avenue,€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-philipsburgh-avenue/3419218
"Upper Buckingham Street, Dublin 1",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-upper-buckingham-street-dublin-1/3230644
"Cappagh Road, Finglas, Dublin 11",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-cappagh-road-finglas-dublin-11/3280072
"Trasnagh, Newcastle Road, Lucan, Co. Dublin",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421291
"Willow Park Grove, Glasnevin, Dublin 11",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-grove-glasnevin-dublin-11/3421433
"Synge Street, Portobello, Dublin 8",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-synge-street-portobello-dublin-8/2606755
"JBs Student Campus, Dublin 7, JB's Student Campus",€199 per week,"5 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-single-room-jbs-student-campus-dublin-7-jbs-student-campus/2580819
"Archway Court, 39A Mountjoy Street, Dublin 7",€490 per month,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
"Archway Court, 39A Mountjoy Street, Dublin 7",€750 per month,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-single-room-archway-court-39a-mountjoy-street-dublin-7/2868775
"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",€125 per week,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
"43 North Circular Road, North Circular Road, Dublin 7",€650 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-43-north-circular-road-north-circular-road-dublin-7/3423026
"Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9","€2,600 per month","4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-8-shanowen-hall-1-shanowen-hall-shanowen-road-santry-dublin-9/3217096
"144 Clonliffe Road, Drumcondra, Dublin 3",€695 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-144-clonliffe-road-drumcondra-dublin-3/3420555
"North Strand Road, North Strand, Dublin 3",€160 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-strand-road-north-strand-dublin-3/3207298
"Charleville Road, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-charleville-road-phibsborough-dublin-7/3260046
"Leinster Street North, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-leinster-street-north-phibsborough-dublin-7/3237947
"Watermill Grove, Old Bawn, Tallaght, Dublin 24",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-watermill-grove-old-bawn-tallaght-dublin-24/3230904
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,350 per month","1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-e-buckley-hall-buckingham-street-lower-dublin-1/3190751
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,400 per month","2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-b-buckley-hall-buckingham-street-lower-dublin-1/2609911
"559 North Circular Road, Dublin 1",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
"North Circular Road, Pibsboro, Dublin 7",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-pibsboro-dublin-7/3417073
Philipsburgh Avenue,€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-philipsburgh-avenue/3419218
"Upper Buckingham Street, Dublin 1",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-upper-buckingham-street-dublin-1/3230644
"Cappagh Road, Finglas, Dublin 11",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-cappagh-road-finglas-dublin-11/3280072
"Trasnagh, Newcastle Road, Lucan, Co. Dublin",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421291
"Willow Park Grove, Glasnevin, Dublin 11",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-grove-glasnevin-dublin-11/3421433
"Synge Street, Portobello, Dublin 8",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-synge-street-portobello-dublin-8/2606755
"JBs Student Campus, Dublin 7, JB's Student Campus",€199 per week,"5 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-single-room-jbs-student-campus-dublin-7-jbs-student-campus/2580819
"Archway Court, 39A Mountjoy Street, Dublin 7",€490 per month,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
"Archway Court, 39A Mountjoy Street, Dublin 7",€750 per month,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-single-room-archway-court-39a-mountjoy-street-dublin-7/2868775
"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",€125 per week,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
"43 North Circular Road, North Circular Road, Dublin 7",€650 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-43-north-circular-road-north-circular-road-dublin-7/3423026
"Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9","€2,600 per month","4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-8-shanowen-hall-1-shanowen-hall-shanowen-road-santry-dublin-9/3217096
"144 Clonliffe Road, Drumcondra, Dublin 3",€695 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-144-clonliffe-road-drumcondra-dublin-3/3420555
"North Strand Road, North Strand, Dublin 3",€160 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-strand-road-north-strand-dublin-3/3207298
"Charleville Road, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-charleville-road-phibsborough-dublin-7/3260046
"Leinster Street North, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-leinster-street-north-phibsborough-dublin-7/3237947
"Watermill Grove, Old Bawn, Tallaght, Dublin 24",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-watermill-grove-old-bawn-tallaght-dublin-24/3230904
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,350 per month","1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-e-buckley-hall-buckingham-street-lower-dublin-1/3190751
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,400 per month","2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-b-buckley-hall-buckingham-street-lower-dublin-1/2609911
"559 North Circular Road, Dublin 1",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
"North Circular Road, Pibsboro, Dublin 7",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-pibsboro-dublin-7/3417073
Philipsburgh Avenue,€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-philipsburgh-avenue/3419218
"Upper Buckingham Street, Dublin 1",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-upper-buckingham-street-dublin-1/3230644
"Cappagh Road, Finglas, Dublin 11",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-cappagh-road-finglas-dublin-11/3280072
"Trasnagh, Newcastle Road, Lucan, Co. Dublin",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421291
"Willow Park Grove, Glasnevin, Dublin 11",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-grove-glasnevin-dublin-11/3421433
"Synge Street, Portobello, Dublin 8",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-synge-street-portobello-dublin-8/2606755
"JBs Student Campus, Dublin 7, JB's Student Campus",€199 per week,"5 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-single-room-jbs-student-campus-dublin-7-jbs-student-campus/2580819
"Archway Court, 39A Mountjoy Street, Dublin 7",€490 per month,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
"Archway Court, 39A Mountjoy Street, Dublin 7",€750 per month,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-single-room-archway-court-39a-mountjoy-street-dublin-7/2868775
"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",€125 per week,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
"43 North Circular Road, North Circular Road, Dublin 7",€650 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-43-north-circular-road-north-circular-road-dublin-7/3423026
"Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9","€2,600 per month","4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-8-shanowen-hall-1-shanowen-hall-shanowen-road-santry-dublin-9/3217096
"144 Clonliffe Road, Drumcondra, Dublin 3",€695 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-144-clonliffe-road-drumcondra-dublin-3/3420555
"North Strand Road, North Strand, Dublin 3",€160 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-strand-road-north-strand-dublin-3/3207298
"Charleville Road, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-charleville-road-phibsborough-dublin-7/3260046
"Leinster Street North, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-leinster-street-north-phibsborough-dublin-7/3237947
"Watermill Grove, Old Bawn, Tallaght, Dublin 24",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-watermill-grove-old-bawn-tallaght-dublin-24/3230904
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,350 per month","1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-e-buckley-hall-buckingham-street-lower-dublin-1/3190751
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,400 per month","2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-b-buckley-hall-buckingham-street-lower-dublin-1/2609911
"559 North Circular Road, Dublin 1",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
"North Circular Road, Pibsboro, Dublin 7",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-pibsboro-dublin-7/3417073
Philipsburgh Avenue,€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-philipsburgh-avenue/3419218
"Upper Buckingham Street, Dublin 1",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-upper-buckingham-street-dublin-1/3230644
"Cappagh Road, Finglas, Dublin 11",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-cappagh-road-finglas-dublin-11/3280072
"Trasnagh, Newcastle Road, Lucan, Co. Dublin",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421291
"Willow Park Grove, Glasnevin, Dublin 11",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-grove-glasnevin-dublin-11/3421433
"Synge Street, Portobello, Dublin 8",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-synge-street-portobello-dublin-8/2606755
"JBs Student Campus, Dublin 7, JB's Student Campus",€199 per week,"5 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-single-room-jbs-student-campus-dublin-7-jbs-student-campus/2580819
"Archway Court, 39A Mountjoy Street, Dublin 7",€490 per month,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
"Archway Court, 39A Mountjoy Street, Dublin 7",€750 per month,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-single-room-archway-court-39a-mountjoy-street-dublin-7/2868775
"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",€125 per week,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
"43 North Circular Road, North Circular Road, Dublin 7",€650 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-43-north-circular-road-north-circular-road-dublin-7/3423026
"Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9","€2,600 per month","4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-8-shanowen-hall-1-shanowen-hall-shanowen-road-santry-dublin-9/3217096
"144 Clonliffe Road, Drumcondra, Dublin 3",€695 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-144-clonliffe-road-drumcondra-dublin-3/3420555
"North Strand Road, North Strand, Dublin 3",€160 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-strand-road-north-strand-dublin-3/3207298
"Charleville Road, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-charleville-road-phibsborough-dublin-7/3260046
"Leinster Street North, Phibsborough, Dublin 7",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-leinster-street-north-phibsborough-dublin-7/3237947
"Watermill Grove, Old Bawn, Tallaght, Dublin 24",€700 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-watermill-grove-old-bawn-tallaght-dublin-24/3230904
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,350 per month","1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-e-buckley-hall-buckingham-street-lower-dublin-1/3190751
"Buckley Hall, Buckingham Street Lower, Dublin 1","€1,400 per month","2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-unit-type-b-buckley-hall-buckingham-street-lower-dublin-1/2609911
"559 North Circular Road, Dublin 1",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-559-north-circular-road-dublin-1/3285034
"North Circular Road, Pibsboro, Dublin 7",€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-north-circular-road-pibsboro-dublin-7/3417073
Philipsburgh Avenue,€750 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-philipsburgh-avenue/3419218
"Upper Buckingham Street, Dublin 1",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-upper-buckingham-street-dublin-1/3230644
"Cappagh Road, Finglas, Dublin 11",€175 per week ,Studio,https://www.daft.ie//for-rent/studio-apartment-cappagh-road-finglas-dublin-11/3280072
"Trasnagh, Newcastle Road, Lucan, Co. Dublin",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-trasnagh-newcastle-road-lucan-co-dublin/3421291
"Willow Park Grove, Glasnevin, Dublin 11",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-willow-park-grove-glasnevin-dublin-11/3421433
"Synge Street, Portobello, Dublin 8",€800 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-synge-street-portobello-dublin-8/2606755
"JBs Student Campus, Dublin 7, JB's Student Campus",€199 per week,"5 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-single-room-jbs-student-campus-dublin-7-jbs-student-campus/2580819
"Archway Court, 39A Mountjoy Street, Dublin 7",€490 per month,"1 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-twin-bed-sharing-archway-court-39a-mountjoy-street-dublin-7/2868777
"Archway Court, 39A Mountjoy Street, Dublin 7",€750 per month,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-single-room-archway-court-39a-mountjoy-street-dublin-7/2868775
"Hazelwood Student Village, North Wood Santry, Santry, Dublin 9",€125 per week,"1 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-hazelwood-student-village-hazelwood-student-villa-santry-dublin-9/2315180
"43 North Circular Road, North Circular Road, Dublin 7",€650 per month ,Studio,https://www.daft.ie//for-rent/studio-apartment-43-north-circular-road-north-circular-road-dublin-7/3423026
"Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9","€2,600 per month","4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-8-shanowen-hall-1-shanowen-hall-shanowen-road-santry-dublin-9/3217096
